INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,804 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\mime\__init__.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,805 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1699555231.5172262
DEBUG 2024-08-01 23:57:15,805 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\dataclasses.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,805 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1699555231.724751
DEBUG 2024-08-01 23:57:15,809 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\coroutines.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,809 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1699555230.8943765
DEBUG 2024-08-01 23:57:15,809 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,814 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\bz2.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,817 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,817 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\utils.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,818 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\quoprimime.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,819 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1699555230.8955636
DEBUG 2024-08-01 23:57:15,819 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1699555231.9653678
DEBUG 2024-08-01 23:57:15,820 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1699555232.0004342
DEBUG 2024-08-01 23:57:15,821 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\logging\handlers.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,821 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\copyreg.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,821 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\selectors.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,821 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\urllib\request.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,823 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\platform.py first seen with mtime 1718722921.552959
